,source,AU_value,CF_contribution,ED_purchaseValue,SP_value,Votes,mentions,betweenness,percentage_votes_used,created,unique_contributed,votes_before,did_bid,total_contributions,did_contribute,did_create,actual_airdrop
0,0x00000000b9d747ef42d224e572a5b7e6488929c8,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.3333333333333333,0.0,0.0,20,0,0.0,0.0,0.0,0.006666666666666666
1,0x00000003cd3aa7e760877f03275621d2692f5841,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.2,0.0,0.04,20,0,1.0,0.15,0.0,0.01
2,0x000000064730640b7d670408d74280924883064f,0.0,0.0,0.0,0.0,10.0,30.0,0.0,0.0769230769230769,0.0,0.0,20,0,0.0,0.0,0.0,0.001538461538461538
3,0x000ab43e658935ba39504a1424b01756c1e9644c,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.8571428571428571,0.0,0.0,30,0,0.0,0.0,0.0,0.02571428571428571
4,0x000cbf0bec88214aab15bc1fa40d3c30b3ca97a9,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.01,0.15,0.0,6e-05
5,0x000eeb1cc42130aa8934756848a7cd713d8df818,0.0,0.0,0.0,0.0,20.0,6.0,0.0003985985176513,0.12,0.0,0.0,30,0,0.0,0.0,0.0,0.0036717477331772337
6,0x001d6bf1898dd15ba388d97e83f4960fdaef1dc7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0
7,0x0040daac32d83c78546ae36da42a496b28ab09e1,0.0,0.1,0.0,0.0,0.0,63.0,0.0002665817002646,0.0,0.0,0.04,10,0,0.1,0.15,0.0,0.0006079974510079379
8,0x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81,0.0,1.0,0.01,0.0,10.0,24.0,1.1582115869571941e-07,0.2,0.0,0.08,20,0,1.01,0.15,0.0,0.01612009335185391
9,0x0052886567af035eb95573f36ecee43ba6453fc3,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0
